"date (YYYY-MM-DD)","date ((D)DMMYYYY)"
"1218-12-08","08121218"
"1219-12-09","09121219"
"1301-03-01","01031301"
"1302-03-02","02031302"
"1303-03-03","03031303"
"1304-03-04","04031304"
"1305-03-05","05031305"
"1306-03-06","06031306"
"1307-03-07","07031307"
"1308-03-08","08031308"
"1309-03-09","09031309"
"1401-04-01","01041401"
"1402-04-02","02041402"
"1403-04-03","03041403"
"1404-04-04","04041404"
"1405-04-05","05041405"
"1406-04-06","06041406"
"1407-04-07","07041407"
"1408-04-08","08041408"
"1409-04-09","09041409"
"1501-05-01","01051501"
"1502-05-02","02051502"
"1503-05-03","03051503"
"1504-05-04","04051504"
"1505-05-05","05051505"
"1506-05-06","06051506"
"1507-05-07","07051507"
"1508-05-08","08051508"
"1509-05-09","09051509"
"1601-06-01","01061601"
"1602-06-02","02061602"
"1603-06-03","03061603"
"1604-06-04","04061604"
"1605-06-05","05061605"
"1606-06-06","06061606"
"1607-06-07","07061607"
"1608-06-08","08061608"
"1609-06-09","09061609"
"1701-07-01","01071701"
"1702-07-02","02071702"
"1703-07-03","03071703"
"1704-07-04","04071704"
"1705-07-05","05071705"
"1706-07-06","06071706"
"1707-07-07","07071707"
"1708-07-08","08071708"
"1709-07-09","09071709"
"1801-08-01","01081801"
"1802-08-02","02081802"
"1803-08-03","03081803"
"1804-08-04","04081804"
"1805-08-05","05081805"
"1806-08-06","06081806"
"1807-08-07","07081807"
"1808-08-08","08081808"
"1809-08-09","09081809"
"1901-09-01","01091901"
"1902-09-02","02091902"
"1903-09-03","03091903"
"1904-09-04","04091904"
"1905-09-05","05091905"
"1906-09-06","06091906"
"1907-09-07","07091907"
"1908-09-08","08091908"
"1909-09-09","09091909"
"2001-02-10","10022001"
"2002-02-20","20022002"
"2010-02-01","01022010"
"2011-02-11","11022011"
"2011-10-01","01102011"
"2012-02-21","21022012"
"2012-10-02","02102012"
"2013-10-03","03102013"
"2014-10-04","04102014"
"2015-10-05","05102015"
"2016-10-06","06102016"
